Composers,Composer last name,Famous violinists and pianists,Musical instrument,'Artist, conductor, orchestra, piece name mentioned',Genre,Piece type,completeness
Amanda Ira Aldridge ,Ira Aldridge ,,,,,,
Robert Aldridge ,Aldridge ,,,,,,
Giuseppe Aldrovandini ,Aldrovandini ,,,,,,
Vittoria Aleotti ,Aleotti ,,,,,,
Leni Alexander ,Alexander ,,,,,,
Liana Alexandra ,Alexandra ,,,,,,
Franco Alfano ,Alfano ,,,,,,
Alfonso X of Castile ,X of Castile ,,,,,,
Kenneth J. Alford ,J. Alford ,,,,,,
Hugo Alfvén ,Alfvén ,,,,,,
Charlotte Alington Barnard ,Alington Barnard ,,,,,,
Francesc Alió ,Alió ,,,,,,
Franghiz Ali-Zadeh ,Ali-Zadeh ,,,,,,
Charles-Valentin Alkan ,Alkan ,,,,,,
Siegfried Alkan ,Alkan ,,,,,,
Esther Allan ,Allan ,,,,,,
Gregorio Allegri ,Allegri ,,,,,,
Steve Allen ,Allen ,,,,,,
Pedro Humberto Allende ,Humberto Allende ,,,,,,
Juan Allende-Blin ,Allende-Blin ,,,,,,
Kristi Allik ,Allik ,,,,,,
Richard Allison ,Allison ,,,,,,
Frances Allitsen ,Allitsen ,,,,,,
Francisco António de Almeida ,António de Almeida ,,,,,,
João Pedro de Almeida Mota ,Pedro de Almeida Mota ,,,,,,
Laurindo Almeida ,Almeida ,,,,,,
Atso Almila ,Almila ,,,,,,
Carl Jonas Love Almqvist ,Jonas Love Almqvist ,,,,,,
Eyvind Alnæs ,Alnæs ,,,,,,
Daniel Alomía Robles ,Alomía Robles ,,,,,,
Francisco Alonso ,Alonso ,,,,,,
Eduardo Alonso-Crespo ,Alonso-Crespo ,,,,,,
Yardena Alotin ,Alotin ,,,,,,
Birgitte Alsted ,Alsted ,,,,,,
Johann Ernst Altenburg ,Ernst Altenburg ,,,,,,
Michael Altenburg ,Altenburg ,,,,,,
Martha Alter ,Alter ,,,,,,
Johann Christoph Altnickol ,Christoph Altnickol ,,,,,,
Fermín María Álvarez ,María Álvarez ,,,,,,
Antonio Álvarez Alonso ,Álvarez Alonso ,,,,,,
Miguel Álvarez-Fernández ,Álvarez-Fernández ,,,,,,
Elias Parish Alvars ,Parish Alvars ,,,,,,
Maria de Alvear ,de Alvear ,,,,,,
Berta Alves de Sousa ,Alves de Sousa ,,,,,,
William Alwyn ,Alwyn ,,,,,,
Alexander Alyabyev ,Alyabyev ,,,,,,
Maryanne Amacher ,Amacher ,,,,,,
Filippo Amadei ,Amadei ,,,,,,
'Amalia Catharina, Countess of Erbach ','Catharina, Countess of Erbach ',,,,,,
'Amalie, Princess of Saxony ',Princess of Saxony ,,,,,,
Amaradeva ,,,,,,,
Joan Albert Amargós ,Albert Amargós ,,,,,,
Miguel de Ambiela ,de Ambiela ,,,,,,
August Wilhelm Ambros ,Wilhelm Ambros ,,,,,,
Marco Ambrosini ,Ambrosini ,,,,,,
Bjarne Amdahl ,Amdahl ,,,,,,
René Amengual ,Amengual ,,,,,,
Jean-Claude Amiot ,Amiot ,,,,,,
Emanuel Amiran-Pougatchov ,Amiran-Pougatchov ,,,,,,
Charles Amirkhanian ,Amirkhanian ,,,,,,
Elias Nikolaus Ammerbach ,Nikolaus Ammerbach ,,,,,,
Ammiya ,,,,,,,
John Amner ,Amner ,,,,,,
Cataldo Amodei ,Amodei ,,,,,,
David Amram ,Amram ,,,,,,
Gilbert Amy ,Amy ,,,,,,
Juan de Anchieta ,de Anchieta ,,,,,,
Solange Ancona ,Ancona ,,,,,,
Laura Andel ,Andel ,,,,,,
Gwyneth Van Anden Walker ,Van Anden Walker ,,,,,,
Avril Anderson ,Anderson ,,,,,,
Beth Anderson ,Anderson ,,,,,,
Johann Andreas Amon ,Andreas Amon ,,,,,,
Fritz Andersen ,Andersen ,,,,,,
Joachim Andersen ,Andersen ,,,,,,
Julian Anderson ,Anderson ,,,,,,
Laurie Anderson ,Anderson ,,,,,,
Leroy Anderson ,Anderson ,,,,,,
T. J. Anderson ,J. Anderson ,,,,,,
Tom Anderson ,Anderson ,,,,,,
Rafael Andia ,Andia ,,,,,,
Ruth Anderson ,Anderson ,,,,,,
Johann André ,André ,,,,,,
Elfrida Andrée ,Andrée ,,,,,,
Kerry Andrew ,Andrew ,,,,,,
Johann Anton André ,Anton André ,,,,,,
Andrea da Firenze ,da Firenze ,,,,,,
Elfrida Andrée ,Andrée ,,,,,,
Saint Andrew of Crete ,Andrew of Crete ,,,,,,
Iosif Andriasov ,Andriasov ,,,,,,
Hendrik Andriessen ,Andriessen ,,,,,,
Jurriaan Andriessen ,Andriessen ,,,,,,
Louis Andriessen ,Andriessen ,,,,,,
Willem Andriessen ,Andriessen ,,,,,,
François Andrieu ,Andrieu ,,,,,,
José Escolástico Andrino ,Escolástico Andrino ,,,,,,
Peter Androsch  ,Androsch  ,,,,,,
Felice Anerio ,Anerio ,,,,,,
Giovanni Francesco Anerio ,Francesco Anerio ,,,,,,
Pasquale Anfossi ,Anfossi ,,,,,,
'Nuccio D''Angelo  ','D''Angelo  ',,,,,,
Gasparo Angiolini ,Angiolini ,,,,,,
'Jean-Henri d''Anglebert ','d''Anglebert ',,,,,,
Giovanni Animuccia ,Animuccia ,,,,,,
Anna Amalia  ,Amalia  ,,,,,,
Anna Amalia  ,Amalia  ,,,,,,
Lucia Contini Anselmi ,Contini Anselmi ,,,,,,
Caroline Ansink ,Ansink ,,,,,,
Conrad Ansorge ,Ansorge ,,,,,,
Elizabeth Anspach ,Anspach ,,,,,,
John Antes ,Antes ,,,,,,
George Antheil ,Antheil ,,,,,,
Andrea Antico ,Antico ,,,,,,
John Antill ,Antill ,,,,,,
Antonello da Caserta ,da Caserta ,,,,,,
Antonio da Cividale ,da Cividale ,,,,,,
Antonio José ,José ,,,,,,
Theodore Antoniou ,Antoniou ,,,,,,
'Giovanni D''Anzi ','D''Anzi ',,,,,,
Yoshino Aoki ,Aoki ,,,,,,
David August von Apell  ,August von Apell  ,,,,,,
Georges Aperghis ,Aperghis ,,,,,,
Aphex Twin ,Twin ,,,,,,
Denis ApIvor ,ApIvor ,,,,,,
Giuseppe Apolloni ,Apolloni ,,,,,,
Hans Erich Apostel ,Erich Apostel ,,,,,,
Dina Appeldoorn ,Appeldoorn ,,,,,,
Benedictus Appenzeller ,Appenzeller ,,,,,,
Adelaide Orsola Appignani ,Orsola Appignani ,,,,,,
Louis Applebaum ,Applebaum ,,,,,,
Thomas Appleby ,Appleby ,,,,,,
Mary Jeanne van Appledorn ,Jeanne van Appledorn ,,,,,,
Francesco Araja ,Araja ,,,,,,
Jesús Arámbarri ,Arámbarri ,,,,,,
Pedro Aranaz ,Aranaz ,,,,,,
Juan Arañés ,Arañés ,,,,,,
Juan de Araujo ,de Araujo ,,,,,,
Izabella Arazova ,Arazova ,,,,,,
Jean-Baptiste Arban ,Arban ,,,,,,
Chaya Arbel ,Arbel ,,,,,,
Jacques Arcadelt ,Arcadelt ,,,,,,
Julián Arcas ,Arcas ,,,,,,
Frederic Archer ,Archer ,,,,,,
Malcolm Archer ,Archer ,,,,,,
Violet Archer ,Archer ,,,,,,
José Ardévol ,Ardévol ,,,,,,
Luigi Arditi ,Arditi ,,,,,,
Sven Arefeldt ,Arefeldt ,,,,,,
Bülent Arel ,Arel ,,,,,,
Anton Arensky ,Arensky ,,,,,,
Paolo Aretino ,Aretino ,,,,,,
Isabel Aretz ,Aretz ,,,,,,
Dominick Argento ,Argento ,,,,,,
Anneli Arho ,Arho ,,,,,,
Attilio Ariosti ,Ariosti ,,,,,,
Rodolfo Arizaga ,Arizaga ,,,,,,
Cecilia Arizti ,Arizti ,,,,,,
Marian Arkwright ,Arkwright ,,,,,,
Albert Arlen ,Arlen ,,,,,,
Harold Arlen ,Arlen ,,,,,,
Jacque Armand   ,Armand   ,,,,,,
Pietro Armanini ,Armanini ,,,,,,
Elinor Armer ,Armer ,,,,,,
Andreas Armsdorff ,Armsdorff ,,,,,,
Gheorghi Arnaoudov ,Arnaoudov ,,,,,,
Leo Arnaud ,Arnaud ,,,,,,
Desi Arnaz ,Arnaz ,,,,,,
Michael Arne ,Arne ,,,,,,
Thomas Arne ,Arne ,,,,,,
Richard Arnell ,Arnell ,,,,,,
Blaž Arnič ,Arnič ,,,,,,
Ralf Arnie  ,Arnie  ,,,,,,
Ernst Arnold   ,Arnold   ,,,,,,
Malcolm Arnold ,Arnold ,,,,,,
Samuel Arnold ,Arnold ,,,,,,
Yuri Karlovich Arnold ,Karlovich Arnold ,,,,,,
Robert Sterling Arnold ,Sterling Arnold ,,,,,,
Juan Crisóstomo Arriaga ,Crisóstomo Arriaga ,,,,,,
Emilio Arrieta ,Arrieta ,,,,,,
Claude Arrieu ,Arrieu ,,,,,,
Nikolai Artsybushev ,Artsybushev ,,,,,,
Giovanni Artusi ,Artusi ,,,,,,
Vyacheslav Artyomov ,Artyomov ,,,,,,
Alexander Arutiunian ,Arutiunian ,,,,,,
Elena Asachi ,Asachi ,,,,,,
Boris Asafyev ,Asafyev ,,,,,,
Joseph Ascher ,Ascher ,,,,,,
Leo Ascher ,Ascher ,,,,,,
Vicente Asencio ,Asencio ,,,,,,
Thomas Ashwell ,Ashwell ,,,,,,
Robert Ashley ,Ashley ,,,,,,
Nils Henrik Asheim ,Henrik Asheim ,,,,,,
Daniel Asia ,Asia ,,,,,,
Gianmatteo Asola ,Asola ,,,,,,
Sören Aspelin  ,Aspelin  ,,,,,,
Franz Asplmayr ,Asplmayr ,,,,,,
Caterina Assandra ,Assandra ,,,,,,
'Charles d''Assoucy ','d''Assoucy ',,,,,,
Ignaz Assmayer ,Assmayer ,,,,,,
Edwin Astley ,Astley ,,,,,,
Fèlix Astol i Artés ,Astol i Artés ,,,,,,
Hugh Aston  ,Aston  ,,,,,,
'Emanuele d''Astorga ','d''Astorga ',,,,,,
Athenaeus son of Athenaeus ,son of Athenaeus ,,,,,,
Esmeralda Athanasiu-Gardeev ,Athanasiu-Gardeev ,,,,,,
Chet Atkins ,Atkins ,,,,,,
Ivor Atkins ,Atkins ,,,,,,
Pierre Attaingnant ,Attaingnant ,,,,,,
Kurt Atterberg ,Atterberg ,,,,,,
Thomas Attwood ,Attwood ,,,,,,
Daniel Auber ,Auber ,,,,,,
Jacques Aubert ,Aubert ,,,,,,
Louis Aubert ,Aubert ,,,,,,
Tony Aubin ,Aubin ,,,,,,
René Aubry ,Aubry ,,,,,,
Edmond Audran ,Audran ,,,,,,
Leopold Auer ,Auer ,,,,,,
Lera Auerbach ,Auerbach ,,,,,,
Marianna Auenbrugger ,Auenbrugger ,,,,,,
Josepha Barbara Auernhammer ,Barbara Auernhammer ,,,,,,
May Aufderheide ,Aufderheide ,,,,,,
Benedikt Anton Aufschnaiter ,Anton Aufschnaiter ,,,,,,
Rafał Augustyn ,Augustyn ,,,,,,
Pietro Auletta ,Auletta ,,,,,,
Tor Aulin ,Aulin ,,,,,,
Valborg Aulin ,Aulin ,,,,,,
Georges Auric ,Auric ,,,,,,
Dorothea Austin ,Austin ,,,,,,
Elizabeth R. Austin ,R. Austin ,,,,,,
Frederic Austin ,Austin ,,,,,,
Larry Austin ,Austin ,,,,,,
Charles Avison ,Avison ,,,,,,
Giuseppe Avitrano ,Avitrano ,,,,,,
Pedro António Avondano ,António Avondano ,,,,,,
Ana-Maria Avram ,Avram ,,,,,,
Slavko Avsenik ,Avsenik ,,,,,,
Aaron Avshalomov ,Avshalomov ,,,,,,
Jacob Avshalomov ,Avshalomov ,,,,,,
Daniel Ayala Pérez ,Ayala Pérez ,,,,,,
Héctor Ayala ,Ayala ,,,,,,
Nat Ayer ,Ayer ,,,,,,
Florence Aylward ,Aylward ,,,,,,
Frederick Ayres ,Ayres ,,,,,,
Artemi Ayvazyan ,Ayvazyan ,,,,,,
Azalais de Porcairagues ,de Porcairagues ,,,,,,
Svitlana Azarova ,Azarova ,,,,,,
Filippo Azzaiolo ,Azzaiolo ,,,,,,
Heidi Baader-Nobs ,Baader-Nobs ,,,,,,
Øystein Baadsvik ,Baadsvik ,,,,,,
Kees van Baaren ,van Baaren ,,,,,,
Arno Babajanian ,Babajanian ,,,,,,
Milton Babbitt ,Babbitt ,,,,,,
William Babell ,Babell ,,,,,,
Stanley Babin ,Babin ,,,,,,
Luis Enríquez Bacalov ,Enríquez Bacalov ,,,,,,
Salvador Bacarisse ,Bacarisse ,,,,,,
Grażyna Bacewicz ,Bacewicz ,,,,,,
Carl Philipp Emanuel Bach ,Philipp Emanuel Bach ,,,,,,
Erik Bach ,Bach ,,,,,,
Georg Christoph Bach ,Christoph Bach ,,,,,,
Gottfried Heinrich Bach ,Heinrich Bach ,,,,,,
Heinrich Bach ,Bach ,,,,,,
Jan Bach ,Bach ,,,,,,
Carlos Berlanga ,Berlanga ,,,,,,
Johann Bernhard Bach ,Bernhard Bach ,,,,,,
Johann Bernhard Bach  ,Bernhard Bach  ,,,,,,
Johann Christian Bach ,Christian Bach ,,,,,,
Johann Christoph Bach ,Christoph Bach ,,,,,,
Johann Christoph Friedrich Bach ,Christoph Friedrich Bach ,,,,,,
Johann Ernst Bach ,Ernst Bach ,,,,,,
Johann Lorenz Bach ,Lorenz Bach ,,,,,,
Johann Ludwig Bach ,Ludwig Bach ,,,,,,
Johann Michael Bach ,Michael Bach ,,,,,,
Johann Nicolaus Bach ,Nicolaus Bach ,,,,,,
Johann Sebastian Bach ,Sebastian Bach ,,,,,,
Maria Bach ,Bach ,,,,,,
Wilhelm Friedemann Bach ,Friedemann Bach ,,,,,,
Wilhelm Friedrich Ernst Bach ,Friedrich Ernst Bach ,,,,,,
Burt Bacharach ,Bacharach ,,,,,,
Francis Edward Bache ,Edward Bache ,,,,,,
Daniel Bacheler ,Bacheler ,,,,,,
Alfred Bachelet ,Bachelet ,,,,,,
Sven-Erik Bäck ,Bäck ,,,,,,
Agathe Backer-Grøndahl ,Backer-Grøndahl ,,,,,,
Fridtjof Backer-Grøndahl ,Backer-Grøndahl ,,,,,,
Johann Georg Heinrich Backofen ,Georg Heinrich Backofen ,,,,,,
Ernst Bacon ,Bacon ,,,,,,
Nicolas Bacri ,Bacri ,,,,,,
Rosa Giacinta Badalla ,Giacinta Badalla ,,,,,,
Tekla Bądarzewska-Baranowska ,Bądarzewska-Baranowska ,,,,,,
Klaus Badelt ,Badelt ,,,,,,
Baden Powell ,Powell ,,,,,,
Carlo Agostino Badia ,Agostino Badia ,,,,,,
Maya Badian ,Badian ,,,,,,
Henk Badings ,Badings ,,,,,,
Heinrich Baermann ,Baermann ,,,,,,
Vera Baeva ,Baeva ,,,,,,
Carlos Baguer  ,Baguer  ,,,,,,
Junsang Bahk ,Bahk ,,,,,,
Judith Margaret Bailey ,Margaret Bailey ,,,,,,
Pierre Baillot ,Baillot ,,,,,,
Colette Bailly ,Bailly ,,,,,,
Giuseppe Baini ,Baini ,,,,,,
Edgar Bainton ,Bainton ,,,,,,
Tadeusz Baird ,Baird ,,,,,,
Edward Bairstow ,Bairstow ,,,,,,
Feliksas Bajoras  ,Bajoras  ,,,,,,
Claude Baker ,Baker ,,,,,,
David Baker ,Baker ,,,,,,
George C. Baker ,C. Baker ,,,,,,
Bálint Bakfark  ,Bakfark  ,,,,,,
Ruth Bakke ,Bakke ,,,,,,
Leonardo Balada ,Balada ,,,,,,
Osvaldas Balakauskas ,Balakauskas ,,,,,,
Mily Balakirev ,Balakirev ,,,,,,
Andrei Melitonovich Balanchivadze ,Melitonovich Balanchivadze ,,,,,,
Meliton Balanchivadze ,Balanchivadze ,,,,,,
Sergey Balasanian ,Balasanian ,,,,,,
Giovanna Bruna Baldacci ,Bruna Baldacci ,,,,,,
Claude Balbastre ,Balbastre ,,,,,,
Pietro Baldassare ,Baldassare ,,,,,,
João José Baldi ,José Baldi ,,,,,,
Michael William Balfe ,William Balfe ,,,,,,
Jean Balissat ,Balissat ,,,,,,
Hank Ballard ,Ballard ,,,,,,
Robert Ballard ,Ballard ,,,,,,
Carl Christian Nicolaj Balle ,Christian Nicolaj Balle ,,,,,,
Esther Ballou ,Ballou ,,,,,,
Ernő Balogh ,Balogh ,,,,,,
Puchi Balseiro ,Balseiro ,,,,,,
Thomas Baltzar ,Baltzar ,,,,,,
Troy Banarzi ,Banarzi ,,,,,,
Adriano Banchieri ,Banchieri ,,,,,,
Gilbert Banester  ,Banester  ,,,,,,
Raffaello de Banfield ,de Banfield ,,,,,,
John Banister ,Banister ,,,,,,
Don Banks ,Banks ,,,,,,
Tommy Banks ,Banks ,,,,,,
Tony Banks ,Banks ,,,,,,
Harald Banter  ,Banter  ,,,,,,
Granville Bantock ,Bantock ,,,,,,
Seymour Barab ,Barab ,,,,,,
Krešimir Baranović ,Baranović ,,,,,,
Barbara of Portugal ,of Portugal ,,,,,,
Bartolomeo Barbarino ,Barbarino ,,,,,,
Helmut Barbe ,Barbe ,,,,,,
Emanuele Barbella ,Barbella ,,,,,,
Samuel Barber ,Barber ,,,,,,
Mansi Barberis ,Barberis ,,,,,,
Giulio Cesare Barbetta  ,Cesare Barbetta  ,,,,,,
Francisco Asenjo Barbieri ,Asenjo Barbieri ,,,,,,
Jacobus Barbireau ,Barbireau ,,,,,,
Cacilda Borges Barbosa ,Borges Barbosa ,,,,,,
Josef Bardanashvili ,Bardanashvili ,,,,,,
Agustín Bardi ,Bardi ,,,,,,
Jason Bare ,Bare ,,,,,,
Woldemar Bargiel ,Bargiel ,,,,,,
Zbigniew Bargielski ,Bargielski ,,,,,,
Antonino Barges ,Barges ,,,,,,
Sabine Baring-Gould ,Baring-Gould ,,,,,,
Alexandre Barjansky ,Barjansky ,,,,,,
Vytautas Barkauskas ,Barkauskas ,,,,,,
Warren Barker ,Barker ,,,,,,
Elaine Barkin ,Barkin ,,,,,,
Clarence Barlow ,Barlow ,,,,,,
Wayne Barlow ,Barlow ,,,,,,
Charlotte Alington Barnard ,Alington Barnard ,,,,,,
Joseph Barnby ,Barnby ,,,,,,
Christian Barnekow ,Barnekow ,,,,,,
Milton Barnes ,Barnes ,,,,,,
Alice Barnett ,Barnett ,,,,,,
Carol Barnett ,Barnett ,,,,,,
